pmid	doi	publisher_bucket	artifact_type	target_url	rationale	expected_local_action
31047664	10.1016/j.chroma.2019.04.028	elsevier-or-cell_press	supp	https://www.sciencedirect.com/science/article/pii/{PII}	Elsevier ScienceDirect supp — supp files hosted at https://ars.els-cdn.com/content/image/1-s2.0-{PII}-mmc{N}.{ext} ; filenames + N discoverable only by parsing the article HTML (JS-rendered supp panel).	1) Resolve PII via CrossRef; 2) navigate https://www.sciencedirect.com/science/article/pii/{PII} in primed Chrome; wait for JS supp panel to render (looking for div.Appendices or a[href*='mmc']); 3) extract every href matching 'https://ars.els-cdn.com/content/image/1-s2.0-<PII>-mmc<N>.<ext>' or '/pii/<PII>/1-s2.0-<PII>-mmc<N>.<ext>' ; 4) navigate each in the same browser context (cf_clearance + PII referer), page.expect_download() ; 5) magic-check ; 6) write to data/papers/PMID_{pmid}/supp/<name>.
31047664	10.1016/j.chroma.2019.04.028	elsevier-or-cell_press	reads	SCRAPE-FROM-ARTICLE-HTML	Reads gap where cluster-side EuropePMC datalinks + NCBI elink + abstract-regex returned NONE. Cluster couldn't fetch the fulltext HTML (publisher CDN is Cloudflare-gated), so any accession embedded in a Data Availability section wasn't visible.	Fetch the Cloudflare-gated article HTML in primed Chrome, regex-extract INSDC accessions (broadened set: PRJ[END][AB]\d+, ERP\d+, SRP\d+, DRP\d+, DRA\d+, E-MTAB-\d+, E-GEOD-\d+, GSE\d+); dedupe; probe each against ENA (https://www.ebi.ac.uk/ena/portal/api/filereport?accession=<ACC>&result=read_run&fields=run_accession,fastq_bytes) to count runs + total_gb; append one row per PMID to data/wave2_local_reads_rescues.tsv (pmid,reads_accessions,reads_source=laptop_scrape,n_runs,total_gb).
33249197	10.1016/j.canlet.2020.11.030	elsevier-or-cell_press	pdf	https://api.crossref.org/works/10.1016/j.canlet.2020.11.030  -> resource.primary.URL -> https://www.sciencedirect.com/science/article/pii/{PII}	Elsevier ScienceDirect — Cloudflare bot-mitigation blocks cluster IP (403 cf-mitigated). Requires stealth-Chromium + primed cf_clearance.	1) CrossRef GET https://api.crossref.org/works/10.1016/j.canlet.2020.11.030 -> extract PII from resource.primary.URL; 2) navigate https://www.sciencedirect.com/science/article/pii/{PII} in primed Chrome (wait_for_challenge_clear, interactive=True); 3) parse DOM for signed a[href*='pdfft'] link containing md5=; 4) navigate the signed URL and page.expect_download(); 5) %PDF magic check; write to data/papers/PMID_{pmid}/paper.pdf.
33249197	10.1016/j.canlet.2020.11.030	elsevier-or-cell_press	supp	https://www.sciencedirect.com/science/article/pii/{PII}	Elsevier ScienceDirect supp — supp files hosted at https://ars.els-cdn.com/content/image/1-s2.0-{PII}-mmc{N}.{ext} ; filenames + N discoverable only by parsing the article HTML (JS-rendered supp panel).	1) Resolve PII via CrossRef; 2) navigate https://www.sciencedirect.com/science/article/pii/{PII} in primed Chrome; wait for JS supp panel to render (looking for div.Appendices or a[href*='mmc']); 3) extract every href matching 'https://ars.els-cdn.com/content/image/1-s2.0-<PII>-mmc<N>.<ext>' or '/pii/<PII>/1-s2.0-<PII>-mmc<N>.<ext>' ; 4) navigate each in the same browser context (cf_clearance + PII referer), page.expect_download() ; 5) magic-check ; 6) write to data/papers/PMID_{pmid}/supp/<name>.
33249197	10.1016/j.canlet.2020.11.030	elsevier-or-cell_press	reads	SCRAPE-FROM-ARTICLE-HTML	Reads gap where cluster-side EuropePMC datalinks + NCBI elink + abstract-regex returned NONE. Cluster couldn't fetch the fulltext HTML (publisher CDN is Cloudflare-gated), so any accession embedded in a Data Availability section wasn't visible.	Fetch the Cloudflare-gated article HTML in primed Chrome, regex-extract INSDC accessions (broadened set: PRJ[END][AB]\d+, ERP\d+, SRP\d+, DRP\d+, DRA\d+, E-MTAB-\d+, E-GEOD-\d+, GSE\d+); dedupe; probe each against ENA (https://www.ebi.ac.uk/ena/portal/api/filereport?accession=<ACC>&result=read_run&fields=run_accession,fastq_bytes) to count runs + total_gb; append one row per PMID to data/wave2_local_reads_rescues.tsv (pmid,reads_accessions,reads_source=laptop_scrape,n_runs,total_gb).
33347911	10.1016/j.jnutbio.2020.108567	elsevier-or-cell_press	pdf	https://api.crossref.org/works/10.1016/j.jnutbio.2020.108567  -> resource.primary.URL -> https://www.sciencedirect.com/science/article/pii/{PII}	Elsevier ScienceDirect — Cloudflare bot-mitigation blocks cluster IP (403 cf-mitigated). Requires stealth-Chromium + primed cf_clearance.	1) CrossRef GET https://api.crossref.org/works/10.1016/j.jnutbio.2020.108567 -> extract PII from resource.primary.URL; 2) navigate https://www.sciencedirect.com/science/article/pii/{PII} in primed Chrome (wait_for_challenge_clear, interactive=True); 3) parse DOM for signed a[href*='pdfft'] link containing md5=; 4) navigate the signed URL and page.expect_download(); 5) %PDF magic check; write to data/papers/PMID_{pmid}/paper.pdf.
33347911	10.1016/j.jnutbio.2020.108567	elsevier-or-cell_press	supp	https://www.sciencedirect.com/science/article/pii/{PII}	Elsevier ScienceDirect supp — supp files hosted at https://ars.els-cdn.com/content/image/1-s2.0-{PII}-mmc{N}.{ext} ; filenames + N discoverable only by parsing the article HTML (JS-rendered supp panel).	1) Resolve PII via CrossRef; 2) navigate https://www.sciencedirect.com/science/article/pii/{PII} in primed Chrome; wait for JS supp panel to render (looking for div.Appendices or a[href*='mmc']); 3) extract every href matching 'https://ars.els-cdn.com/content/image/1-s2.0-<PII>-mmc<N>.<ext>' or '/pii/<PII>/1-s2.0-<PII>-mmc<N>.<ext>' ; 4) navigate each in the same browser context (cf_clearance + PII referer), page.expect_download() ; 5) magic-check ; 6) write to data/papers/PMID_{pmid}/supp/<name>.
33347911	10.1016/j.jnutbio.2020.108567	elsevier-or-cell_press	reads	SCRAPE-FROM-ARTICLE-HTML	Reads gap where cluster-side EuropePMC datalinks + NCBI elink + abstract-regex returned NONE. Cluster couldn't fetch the fulltext HTML (publisher CDN is Cloudflare-gated), so any accession embedded in a Data Availability section wasn't visible.	Fetch the Cloudflare-gated article HTML in primed Chrome, regex-extract INSDC accessions (broadened set: PRJ[END][AB]\d+, ERP\d+, SRP\d+, DRP\d+, DRA\d+, E-MTAB-\d+, E-GEOD-\d+, GSE\d+); dedupe; probe each against ENA (https://www.ebi.ac.uk/ena/portal/api/filereport?accession=<ACC>&result=read_run&fields=run_accession,fastq_bytes) to count runs + total_gb; append one row per PMID to data/wave2_local_reads_rescues.tsv (pmid,reads_accessions,reads_source=laptop_scrape,n_runs,total_gb).
33524545	10.1016/j.ijrobp.2021.01.032	elsevier-or-cell_press	pdf	https://api.crossref.org/works/10.1016/j.ijrobp.2021.01.032  -> resource.primary.URL -> https://www.sciencedirect.com/science/article/pii/{PII}	Elsevier ScienceDirect — Cloudflare bot-mitigation blocks cluster IP (403 cf-mitigated). Requires stealth-Chromium + primed cf_clearance.	1) CrossRef GET https://api.crossref.org/works/10.1016/j.ijrobp.2021.01.032 -> extract PII from resource.primary.URL; 2) navigate https://www.sciencedirect.com/science/article/pii/{PII} in primed Chrome (wait_for_challenge_clear, interactive=True); 3) parse DOM for signed a[href*='pdfft'] link containing md5=; 4) navigate the signed URL and page.expect_download(); 5) %PDF magic check; write to data/papers/PMID_{pmid}/paper.pdf.
33524545	10.1016/j.ijrobp.2021.01.032	elsevier-or-cell_press	supp	https://www.sciencedirect.com/science/article/pii/{PII}	Elsevier ScienceDirect supp — supp files hosted at https://ars.els-cdn.com/content/image/1-s2.0-{PII}-mmc{N}.{ext} ; filenames + N discoverable only by parsing the article HTML (JS-rendered supp panel).	1) Resolve PII via CrossRef; 2) navigate https://www.sciencedirect.com/science/article/pii/{PII} in primed Chrome; wait for JS supp panel to render (looking for div.Appendices or a[href*='mmc']); 3) extract every href matching 'https://ars.els-cdn.com/content/image/1-s2.0-<PII>-mmc<N>.<ext>' or '/pii/<PII>/1-s2.0-<PII>-mmc<N>.<ext>' ; 4) navigate each in the same browser context (cf_clearance + PII referer), page.expect_download() ; 5) magic-check ; 6) write to data/papers/PMID_{pmid}/supp/<name>.
33524545	10.1016/j.ijrobp.2021.01.032	elsevier-or-cell_press	reads	SCRAPE-FROM-ARTICLE-HTML	Reads gap where cluster-side EuropePMC datalinks + NCBI elink + abstract-regex returned NONE. Cluster couldn't fetch the fulltext HTML (publisher CDN is Cloudflare-gated), so any accession embedded in a Data Availability section wasn't visible.	Fetch the Cloudflare-gated article HTML in primed Chrome, regex-extract INSDC accessions (broadened set: PRJ[END][AB]\d+, ERP\d+, SRP\d+, DRP\d+, DRA\d+, E-MTAB-\d+, E-GEOD-\d+, GSE\d+); dedupe; probe each against ENA (https://www.ebi.ac.uk/ena/portal/api/filereport?accession=<ACC>&result=read_run&fields=run_accession,fastq_bytes) to count runs + total_gb; append one row per PMID to data/wave2_local_reads_rescues.tsv (pmid,reads_accessions,reads_source=laptop_scrape,n_runs,total_gb).
34022363	10.1016/j.micpath.2021.104964	elsevier-or-cell_press	pdf	https://api.crossref.org/works/10.1016/j.micpath.2021.104964  -> resource.primary.URL -> https://www.sciencedirect.com/science/article/pii/{PII}	Elsevier ScienceDirect — Cloudflare bot-mitigation blocks cluster IP (403 cf-mitigated). Requires stealth-Chromium + primed cf_clearance.	1) CrossRef GET https://api.crossref.org/works/10.1016/j.micpath.2021.104964 -> extract PII from resource.primary.URL; 2) navigate https://www.sciencedirect.com/science/article/pii/{PII} in primed Chrome (wait_for_challenge_clear, interactive=True); 3) parse DOM for signed a[href*='pdfft'] link containing md5=; 4) navigate the signed URL and page.expect_download(); 5) %PDF magic check; write to data/papers/PMID_{pmid}/paper.pdf.
34022363	10.1016/j.micpath.2021.104964	elsevier-or-cell_press	supp	https://www.sciencedirect.com/science/article/pii/{PII}	Elsevier ScienceDirect supp — supp files hosted at https://ars.els-cdn.com/content/image/1-s2.0-{PII}-mmc{N}.{ext} ; filenames + N discoverable only by parsing the article HTML (JS-rendered supp panel).	1) Resolve PII via CrossRef; 2) navigate https://www.sciencedirect.com/science/article/pii/{PII} in primed Chrome; wait for JS supp panel to render (looking for div.Appendices or a[href*='mmc']); 3) extract every href matching 'https://ars.els-cdn.com/content/image/1-s2.0-<PII>-mmc<N>.<ext>' or '/pii/<PII>/1-s2.0-<PII>-mmc<N>.<ext>' ; 4) navigate each in the same browser context (cf_clearance + PII referer), page.expect_download() ; 5) magic-check ; 6) write to data/papers/PMID_{pmid}/supp/<name>.
34022363	10.1016/j.micpath.2021.104964	elsevier-or-cell_press	reads	SCRAPE-FROM-ARTICLE-HTML	Reads gap where cluster-side EuropePMC datalinks + NCBI elink + abstract-regex returned NONE. Cluster couldn't fetch the fulltext HTML (publisher CDN is Cloudflare-gated), so any accession embedded in a Data Availability section wasn't visible.	Fetch the Cloudflare-gated article HTML in primed Chrome, regex-extract INSDC accessions (broadened set: PRJ[END][AB]\d+, ERP\d+, SRP\d+, DRP\d+, DRA\d+, E-MTAB-\d+, E-GEOD-\d+, GSE\d+); dedupe; probe each against ENA (https://www.ebi.ac.uk/ena/portal/api/filereport?accession=<ACC>&result=read_run&fields=run_accession,fastq_bytes) to count runs + total_gb; append one row per PMID to data/wave2_local_reads_rescues.tsv (pmid,reads_accessions,reads_source=laptop_scrape,n_runs,total_gb).
34514218	10.1016/j.cophys.2021.100472	elsevier-or-cell_press	pdf	https://api.crossref.org/works/10.1016/j.cophys.2021.100472  -> resource.primary.URL -> https://www.sciencedirect.com/science/article/pii/{PII}	Elsevier ScienceDirect — Cloudflare bot-mitigation blocks cluster IP (403 cf-mitigated). Requires stealth-Chromium + primed cf_clearance.	1) CrossRef GET https://api.crossref.org/works/10.1016/j.cophys.2021.100472 -> extract PII from resource.primary.URL; 2) navigate https://www.sciencedirect.com/science/article/pii/{PII} in primed Chrome (wait_for_challenge_clear, interactive=True); 3) parse DOM for signed a[href*='pdfft'] link containing md5=; 4) navigate the signed URL and page.expect_download(); 5) %PDF magic check; write to data/papers/PMID_{pmid}/paper.pdf.
34514218	10.1016/j.cophys.2021.100472	elsevier-or-cell_press	supp	https://www.sciencedirect.com/science/article/pii/{PII}	Elsevier ScienceDirect supp — supp files hosted at https://ars.els-cdn.com/content/image/1-s2.0-{PII}-mmc{N}.{ext} ; filenames + N discoverable only by parsing the article HTML (JS-rendered supp panel).	1) Resolve PII via CrossRef; 2) navigate https://www.sciencedirect.com/science/article/pii/{PII} in primed Chrome; wait for JS supp panel to render (looking for div.Appendices or a[href*='mmc']); 3) extract every href matching 'https://ars.els-cdn.com/content/image/1-s2.0-<PII>-mmc<N>.<ext>' or '/pii/<PII>/1-s2.0-<PII>-mmc<N>.<ext>' ; 4) navigate each in the same browser context (cf_clearance + PII referer), page.expect_download() ; 5) magic-check ; 6) write to data/papers/PMID_{pmid}/supp/<name>.
34514218	10.1016/j.cophys.2021.100472	elsevier-or-cell_press	reads	SCRAPE-FROM-ARTICLE-HTML	Reads gap where cluster-side EuropePMC datalinks + NCBI elink + abstract-regex returned NONE. Cluster couldn't fetch the fulltext HTML (publisher CDN is Cloudflare-gated), so any accession embedded in a Data Availability section wasn't visible.	Fetch the Cloudflare-gated article HTML in primed Chrome, regex-extract INSDC accessions (broadened set: PRJ[END][AB]\d+, ERP\d+, SRP\d+, DRP\d+, DRA\d+, E-MTAB-\d+, E-GEOD-\d+, GSE\d+); dedupe; probe each against ENA (https://www.ebi.ac.uk/ena/portal/api/filereport?accession=<ACC>&result=read_run&fields=run_accession,fastq_bytes) to count runs + total_gb; append one row per PMID to data/wave2_local_reads_rescues.tsv (pmid,reads_accessions,reads_source=laptop_scrape,n_runs,total_gb).
36572328	10.1016/j.jep.2022.116075	elsevier-or-cell_press	pdf	https://api.crossref.org/works/10.1016/j.jep.2022.116075  -> resource.primary.URL -> https://www.sciencedirect.com/science/article/pii/{PII}	Elsevier ScienceDirect — Cloudflare bot-mitigation blocks cluster IP (403 cf-mitigated). Requires stealth-Chromium + primed cf_clearance.	1) CrossRef GET https://api.crossref.org/works/10.1016/j.jep.2022.116075 -> extract PII from resource.primary.URL; 2) navigate https://www.sciencedirect.com/science/article/pii/{PII} in primed Chrome (wait_for_challenge_clear, interactive=True); 3) parse DOM for signed a[href*='pdfft'] link containing md5=; 4) navigate the signed URL and page.expect_download(); 5) %PDF magic check; write to data/papers/PMID_{pmid}/paper.pdf.
36572328	10.1016/j.jep.2022.116075	elsevier-or-cell_press	supp	https://www.sciencedirect.com/science/article/pii/{PII}	Elsevier ScienceDirect supp — supp files hosted at https://ars.els-cdn.com/content/image/1-s2.0-{PII}-mmc{N}.{ext} ; filenames + N discoverable only by parsing the article HTML (JS-rendered supp panel).	1) Resolve PII via CrossRef; 2) navigate https://www.sciencedirect.com/science/article/pii/{PII} in primed Chrome; wait for JS supp panel to render (looking for div.Appendices or a[href*='mmc']); 3) extract every href matching 'https://ars.els-cdn.com/content/image/1-s2.0-<PII>-mmc<N>.<ext>' or '/pii/<PII>/1-s2.0-<PII>-mmc<N>.<ext>' ; 4) navigate each in the same browser context (cf_clearance + PII referer), page.expect_download() ; 5) magic-check ; 6) write to data/papers/PMID_{pmid}/supp/<name>.
36572328	10.1016/j.jep.2022.116075	elsevier-or-cell_press	reads	SCRAPE-FROM-ARTICLE-HTML	Reads gap where cluster-side EuropePMC datalinks + NCBI elink + abstract-regex returned NONE. Cluster couldn't fetch the fulltext HTML (publisher CDN is Cloudflare-gated), so any accession embedded in a Data Availability section wasn't visible.	Fetch the Cloudflare-gated article HTML in primed Chrome, regex-extract INSDC accessions (broadened set: PRJ[END][AB]\d+, ERP\d+, SRP\d+, DRP\d+, DRA\d+, E-MTAB-\d+, E-GEOD-\d+, GSE\d+); dedupe; probe each against ENA (https://www.ebi.ac.uk/ena/portal/api/filereport?accession=<ACC>&result=read_run&fields=run_accession,fastq_bytes) to count runs + total_gb; append one row per PMID to data/wave2_local_reads_rescues.tsv (pmid,reads_accessions,reads_source=laptop_scrape,n_runs,total_gb).
36603786	10.1016/j.jep.2022.116125	elsevier-or-cell_press	pdf	https://api.crossref.org/works/10.1016/j.jep.2022.116125  -> resource.primary.URL -> https://www.sciencedirect.com/science/article/pii/{PII}	Elsevier ScienceDirect — Cloudflare bot-mitigation blocks cluster IP (403 cf-mitigated). Requires stealth-Chromium + primed cf_clearance.	1) CrossRef GET https://api.crossref.org/works/10.1016/j.jep.2022.116125 -> extract PII from resource.primary.URL; 2) navigate https://www.sciencedirect.com/science/article/pii/{PII} in primed Chrome (wait_for_challenge_clear, interactive=True); 3) parse DOM for signed a[href*='pdfft'] link containing md5=; 4) navigate the signed URL and page.expect_download(); 5) %PDF magic check; write to data/papers/PMID_{pmid}/paper.pdf.
36603786	10.1016/j.jep.2022.116125	elsevier-or-cell_press	supp	https://www.sciencedirect.com/science/article/pii/{PII}	Elsevier ScienceDirect supp — supp files hosted at https://ars.els-cdn.com/content/image/1-s2.0-{PII}-mmc{N}.{ext} ; filenames + N discoverable only by parsing the article HTML (JS-rendered supp panel).	1) Resolve PII via CrossRef; 2) navigate https://www.sciencedirect.com/science/article/pii/{PII} in primed Chrome; wait for JS supp panel to render (looking for div.Appendices or a[href*='mmc']); 3) extract every href matching 'https://ars.els-cdn.com/content/image/1-s2.0-<PII>-mmc<N>.<ext>' or '/pii/<PII>/1-s2.0-<PII>-mmc<N>.<ext>' ; 4) navigate each in the same browser context (cf_clearance + PII referer), page.expect_download() ; 5) magic-check ; 6) write to data/papers/PMID_{pmid}/supp/<name>.
36603786	10.1016/j.jep.2022.116125	elsevier-or-cell_press	reads	SCRAPE-FROM-ARTICLE-HTML	Reads gap where cluster-side EuropePMC datalinks + NCBI elink + abstract-regex returned NONE. Cluster couldn't fetch the fulltext HTML (publisher CDN is Cloudflare-gated), so any accession embedded in a Data Availability section wasn't visible.	Fetch the Cloudflare-gated article HTML in primed Chrome, regex-extract INSDC accessions (broadened set: PRJ[END][AB]\d+, ERP\d+, SRP\d+, DRP\d+, DRA\d+, E-MTAB-\d+, E-GEOD-\d+, GSE\d+); dedupe; probe each against ENA (https://www.ebi.ac.uk/ena/portal/api/filereport?accession=<ACC>&result=read_run&fields=run_accession,fastq_bytes) to count runs + total_gb; append one row per PMID to data/wave2_local_reads_rescues.tsv (pmid,reads_accessions,reads_source=laptop_scrape,n_runs,total_gb).
36736685	10.1016/j.yexmp.2023.104855	elsevier-or-cell_press	pdf	https://api.crossref.org/works/10.1016/j.yexmp.2023.104855  -> resource.primary.URL -> https://www.sciencedirect.com/science/article/pii/{PII}	Elsevier ScienceDirect — Cloudflare bot-mitigation blocks cluster IP (403 cf-mitigated). Requires stealth-Chromium + primed cf_clearance.	1) CrossRef GET https://api.crossref.org/works/10.1016/j.yexmp.2023.104855 -> extract PII from resource.primary.URL; 2) navigate https://www.sciencedirect.com/science/article/pii/{PII} in primed Chrome (wait_for_challenge_clear, interactive=True); 3) parse DOM for signed a[href*='pdfft'] link containing md5=; 4) navigate the signed URL and page.expect_download(); 5) %PDF magic check; write to data/papers/PMID_{pmid}/paper.pdf.
36736685	10.1016/j.yexmp.2023.104855	elsevier-or-cell_press	supp	https://www.sciencedirect.com/science/article/pii/{PII}	Elsevier ScienceDirect supp — supp files hosted at https://ars.els-cdn.com/content/image/1-s2.0-{PII}-mmc{N}.{ext} ; filenames + N discoverable only by parsing the article HTML (JS-rendered supp panel).	1) Resolve PII via CrossRef; 2) navigate https://www.sciencedirect.com/science/article/pii/{PII} in primed Chrome; wait for JS supp panel to render (looking for div.Appendices or a[href*='mmc']); 3) extract every href matching 'https://ars.els-cdn.com/content/image/1-s2.0-<PII>-mmc<N>.<ext>' or '/pii/<PII>/1-s2.0-<PII>-mmc<N>.<ext>' ; 4) navigate each in the same browser context (cf_clearance + PII referer), page.expect_download() ; 5) magic-check ; 6) write to data/papers/PMID_{pmid}/supp/<name>.
