pmid	verdict	confidence	c1_primary	c2_stool_metagen	c3_case_control	c4_illumina	c5_human	substrate	technology	platform	species	design	disease	mixed_content	reasoning_path
30936548	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	shotgun-WGS	Illumina HiSeq 2000/2500/4000	human	cross-sectional-case-control	CRC	Wirbel Nat Med — 2 new cohorts + validation on 2 public cohorts	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30936548.md
31059977	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	FAIL	rat colonic contents	16S	Illumina MiSeq	rat	intervention	ulcerative colitis	rat DSS colitis intervention	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31059977.md
31169073	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PARTIAL	PASS	bacterial isolates	isolate-WGS	Illumina MiSeq + PacBio	human	isolate comparative genomics	CD+CRC+gastroenteritis	Campylobacter showae isolate genomics from various sources	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31169073.md
31244818	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	PASS	PASS	biopsy (mucosa)	16S	Illumina HiSeq 2500	human	nested-case-control	CRC	tumor mucosa + adjacent non-neoplastic mucosa	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31244818.md
31281534	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	16S	Illumina MiSeq PE300	human	cross-sectional-case-control	CRC	50 CRC vs 50 healthy fecal 16S	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31281534.md
31358825	IN-SCOPE	MEDIUM	PASS	PASS	PASS	PARTIAL	PASS	stool	16S V3-V4	Illumina (Nextera adapter)	human	cross-sectional-case-control	CRC+adenoma	normal/adenoma/cancer enterotype stool 16S	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31358825.md
31680787	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	NOT-STATED	n/a	review	n/a	n/a	narrative-review	CRC(review)	narrative review on microbiome-chemoradiation-immunotherapy in CRC	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31680787.md
33456404	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	NOT-STATED	n/a	review	n/a	n/a	narrative-review	CRC(review)	narrative review on microbiome and CRC	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33456404.md
33607296	UNCERTAIN	LOW	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	not-stated	not-stated	not-stated	not-stated	not-stated	not-stated	text extraction failed — only fragmented figure titles	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33607296.md
33742231	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	PASS	anastomotic lavage fluid	16S	Illumina MiSeq	human	longitudinal	rectal cancer	perioperative endoscopic surveillance; lavage fluid 16S	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33742231.md
33809741	PARTIAL	HIGH	PASS	PASS	PARTIAL	PASS	PASS	stool	16S	Illumina MiSeq	human	CRC-only stratified + longitudinal	CRC	62 CRC patients stratified by post-op complications	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33809741.md
33947803	UNCERTAIN	LOW	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	not-stated	not-stated	not-stated	not-stated	not-stated	CRC/CD/UC(possible meta)	text extraction produced only species-list fragment across CRC/CD/UC/common groups	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33947803.md
34103493	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	FAIL	mouse intestinal organoid/tissue	RNA-Seq	not-stated	mouse	intervention	mouse models	only reporting summary extracted; mouse organoid + GEM RNA-Seq	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34103493.md
34200105	OUT-OF-SCOPE	HIGH	PASS	PASS	FAIL	PASS	PASS	stool	16S	Illumina HiSeq 2500	human	intervention (crossover)	healthy diet	12 healthy adults diet crossover; no disease case	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34200105.md
34307461	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	16S + shallow-WGS	Illumina	human	cross-sectional-case-control	adenoma+CRC vs hemorrhoid	fecal 16S+SMS across adenoma/CRC/hemorrhoid patients	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34307461.md
34439954	PARTIAL	MEDIUM	PARTIAL	PARTIAL	PASS	NOT-STATED	PASS	stool (planned)	metagenomics (planned/in-progress)	not-stated	human	cross-sectional-case-control	CRC+adenoma	CORSA biobank cohort profile paper; metagenomics ongoing	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34439954.md
34502456	OUT-OF-SCOPE	HIGH	PASS	PASS	PASS	FAIL	PASS	stool	16S	Ion S5 (Ion Torrent)	human	cross-sectional-case-control + longitudinal RCT	CRC	CRC vs healthy stool 16S baseline; Ion Torrent only (no Illumina subset)	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34502456.md
34585527	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	FAIL	mixed (mouse intestine + human serum)	16S (mouse only)	not-stated	mixed-human-and-mouse	intervention (mouse)	cancer cachexia	16S is mouse-only; human component is serum metabolomics	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34585527.md
34604238	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	PASS	biopsy + intestinal lavage fluid	shotgun-WGS	Illumina NovaSeq 6000	human	nested-case-control (tissue vs IVF)	CRC	20 CRC patients paired biopsy + IVF WGS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34604238.md
34715774	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	PASS	FFPE tissue	16S	Illumina MiSeq + NovaSeq 6000	human	technical-validation	CRC	FFPE tissue methodology paper	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34715774.md
34804993	PARTIAL	MEDIUM	PARTIAL	PASS	PARTIAL	NOT-STATED	PASS	stool	shotgun-WGS	not-stated (likely Illumina)	human	nested-case-control (twin) + re-analysis validation	CRC	n=2 twin primary + Zeller/Sobhani CCR1 cohort validation	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34804993.md
34907602	PARTIAL	MEDIUM	PASS	PASS	PARTIAL	NOT-STATED	PASS	stool	16S	not-stated	human	CRC-only stratified (PPOI vs non-PPOI)	CRC	60 CRC patients (PPOI vs non-PPOI); mouse mechanism	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34907602.md
34956106	OUT-OF-SCOPE	HIGH	FAIL	PASS	PARTIAL	NOT-STATED	PASS	stool + saliva (public)	shotgun-WGS	Illumina (inherited)	human	re-analysis	CRC+T1D+RA	re-analysis of 935 public metagenomes (Schmidt 2019)	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34956106.md
35003805	PARTIAL	HIGH	PASS	PASS	PARTIAL	PASS	PASS	stool	16S	Illumina	human	CRC-only stratified (HAM-D)	rectal cancer	40 rectal cancer patients stratified by depressive symptoms	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35003805.md
35087227	IN-SCOPE	MEDIUM	PARTIAL	PASS	PASS	PASS	PASS	stool	shotgun-WGS	Illumina NovaSeq 6000	human	cross-sectional-case-control	CRC	China-SH primary cohort + 7 public CRC cohorts (meta-integration)	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35087227.md
35189961	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	shotgun-WGS	Illumina HiSeq 2000	human	cross-sectional-case-control	CRC+adenoma	Coker Microbiome — 386 subjects NC/CRA/CRC	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35189961.md
35475151	OUT-OF-SCOPE	HIGH	PASS	PARTIAL	FAIL	PASS	PASS	rectal swab	16S	Illumina MiSeq	human	cross-sectional-case-control	prostate cancer	rectal swab; case group is prostate cancer (fails c3 CRC scope)	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35475151.md
36343662	OUT-OF-SCOPE	HIGH	FAIL	PARTIAL	PARTIAL	NOT-STATED	PASS	stool (public)	shotgun-WGS	not-stated (public data)	human	metagenomic-mining + enzymology	CRC	bile acid enzymology + bai gene mining of public CRC/healthy metagenomes	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_36343662.md
36633831	PARTIAL	HIGH	PASS	PASS	PARTIAL	PASS	PASS	stool	16S	Illumina MiSeq	human	CRC-only stratified (LN metastasis)	CRC	229 CRC stool 16S stratified by lymph-node metastasis	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_36633831.md
36862804	OUT-OF-SCOPE	HIGH	NOT-STATED	FAIL	FAIL	NOT-STATED	PASS	tumor DNA	cancer genomics	not-stated	human	pan-cancer genomics	pan-cancer	META-PRISM pan-cancer somatic-mutation study; no microbiome	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_36862804.md
36984891	OUT-OF-SCOPE	HIGH	PARTIAL	FAIL	FAIL	NOT-STATED	FAIL	mixed (isolates+mouse+public)	BLASTP+isolate 16S ID	n/a	mouse+isolates	intervention (mouse)	CRC + T2D + prostate	in-vitro isolate assay + mouse gavage + HMP mining	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_36984891.md
37042765	OUT-OF-SCOPE	HIGH	NOT-STATED	FAIL	PARTIAL	NOT-STATED	PASS	tumor + adjacent tissue	16S	not-stated	human	CRC-only stratified (survival)	CRC	tissue microbiome vs CRC survival (short/long)	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37042765.md
37127667	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	NOT-STATED	PASS	saliva	16S	not-stated	human	nested-case-control	mixed cancer (prostate+breast+colon)	oral 16S; case group mixes prostate+breast+colon cancer	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37127667.md
37182146	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool (archived)	16S + shotgun-WGS	Illumina MiSeq + NovaSeq	human	nested-case-control	CRC+HRA vs healthy	NORCCAP 144 archived fecal samples	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37182146.md
37260140	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	16S + shotgun	Illumina MiSeq	human	cross-sectional-case-control	CRC	50 CRC + 52 healthy fecal 16S + shotgun	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37260140.md
37317301	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	PASS	PASS	biopsy (mucosa)	16S + ITS	Illumina NovaSeq PE250	human	nested-case-control	adenomas w/ LGD	mucosa 16S + ITS on ALGD patients	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37317301.md
37370676	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	PASS	PASS	mucosa + luminal wash	16S	Illumina MiSeq	human	cross-sectional (LGD vs HGD polyps)	dysplastic polyps	MAM + LAM microbiota in dysplastic polyps	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37370676.md
37483698	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	PASS	PASS	tumor + normal tissue	16S	Illumina MiSeq	human	nested-case-control stratified by ethnicity	CRC	CRC tumor tissue 16S across Egyptian/AA/EA ethnicities	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37483698.md
37513865	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	FAIL	rat gut	16S/not-stated	not-stated	rat	intervention	DSS-colitis	rat DSS-colitis + KE intervention	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37513865.md
37577378	OUT-OF-SCOPE	HIGH	PASS	PASS	FAIL	PASS	PASS	stool	shotgun-WGS	Illumina NovaSeq 6000	human	cross-sectional-case-control	case-mix cancer + IBD + CDI	case group is case-mix cancer (not CRC-only); fails c3 CRC scope	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37577378.md
37612430	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	PASS	PASS	tumor tissue	16S	Illumina MiSeq	human	CRC-only stratified (HPV+ vs HPV-)	CRC	CRC tumor tissue 16S stratified by HPV	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37612430.md
37644400	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	FAIL	fermented juice + cell line	16S + in-vitro assay	Illumina MiSeq	non-human (plant+cell line)	intervention	CRC (cell line)	aloe juice fermentation + in-vitro anticancer	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37644400.md
37760515	PARTIAL	HIGH	PASS	PASS	PARTIAL	PASS	PASS	stool	16S	Illumina MiSeq	human	CRC-only stratified (race/ethnicity)	CRC	30 CRC patients stratified by race/ethnicity (18 stool samples returned)	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37760515.md
37806638	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	FAIL	PASS	FFPE tumor tissue	targeted qPCR	n/a	human	CRC-only stratified (survival)	CRC	FFPE tissue B. fragilis qPCR; not sequencing	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37806638.md
37887704	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	FAIL	cell lines + bacterial isolates	in-vitro assay	n/a	non-human	intervention (in-vitro)	staphylococci	in-vitro AMP activity vs Staphylococci	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37887704.md
37928040	PARTIAL	HIGH	PASS	PASS	PARTIAL	PASS	PASS	stool	16S	Illumina NovaSeq 6000	human	CRC-only stratified (TCM syndrome)	CRC	109 CRC patients stratified by 5 TCM syndromes	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37928040.md
38018574	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	FAIL	mouse stool + anal swab + tumor	qPCR + 16S	Illumina MiSeq PE300	mouse	intervention	CRC/CRLM (mouse)	mouse metronidazole intervention on Fn	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_38018574.md
38038385	OUT-OF-SCOPE	HIGH	PASS	PARTIAL	FAIL	PARTIAL	PASS	stool (EV fraction)	16S + full-length 16S	Illumina + PacBio (mixed)	human	healthy-only methodology	healthy	5 healthy individuals stBEV methodology paper	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_38038385.md
38111159	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	FAIL	mouse intestinal contents	16S	Illumina MiSeq	mouse	intervention (diet)	CRC-risk (mouse)	pork sausage diet in mice	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_38111159.md
38304032	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	PASS	PASS	tumor tissue	16S	Illumina MiSeq	human	CRC-only (metastatic)	metastatic CRC	metastatic CRC tumor tissue 16S	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_38304032.md
